id_annotation	id_annotator	caption	url	Meta	True	Action	Subjective	Story	Irrelevant	Other	Comment	When	How	Where	Identification	source	image_id
39	1	a very typical bus station	http://lh6.ggpht.com/-IvRtNLNcG8o/TpFyrudaT6I/AAAAAAAAM6o/_11MuAAKalQ/IMG_3422.JPG?imgmax=800	0	1	0	0	0	0	0		0	0	0	0	None	ycieywfkys.jpg
40	1	sierra looked stunning in this top and this skirt while performing with person at their former university	http://78.media.tumblr.com/3b133294bdc7c7784b781b45eb9af7be/tumblr_nbirmjpEme1tkk0fco1_500.jpg	0	0	0	1	1	0	0		0	0	0	0	None	qhqhxphjjm.jpg
41	1	young confused girl standing in front of a wardrobe	https://media.gettyimages.com/photos/young-confused-girl-standing-in-front-of-a-wardrobe-picture-id511063329?s=612x612	0	1	0	0	0	0	0		0	0	0	0	None	anxmpxnqzw.jpg
42	1	interior design of modern living room with fireplace in a new house	https://thumb1.shutterstock.com/display_pic_with_logo/152074/125938838/stock-photo-interior-design-of-modern-living-room-with-fireplace-in-a-new-house-125938838.jpg	0	1	0	0	0	0	0		0	0	0	0	None	nkuxnqaplq.jpg
43	1	cybernetic scene isolated on white background .	https://thumb1.shutterstock.com/display_pic_with_logo/324673/177023534/stock-photo-cybernetic-scene-isolated-on-white-background-sci-fi-robot-arm-made-of-compound-metallic-as-a-177023534.jpg	0	0	0	0	1	0	0		0	0	0	0	None	uslhbfxkqc.jpg
44	1	gangsta rap artist attends sports team vs playoff game in the borough .	https://media.gettyimages.com/photos/jayz-attends-the-chicago-bulls-vs-brooklyn-nets-playoff-game-at-the-picture-id167112882	0	1	0	0	1	0	0		0	0	0	0	None	wwjlqmdrpg.jpg
45	1	the jetty : different types of plants to establish a variety of ecosystems .	https://prismpub.com/wp-content/uploads/2016/11/Chicago-Riverwalk_graphic_13.jpg	0	0	0	0	1	0	0		0	0	0	0	None	hzxkderwof.jpg
46	1	traditional ornamental floral paisley bandanna .	https://thumb1.shutterstock.com/display_pic_with_logo/701386/201063638/stock-photo-traditional-ornamental-floral-paisley-bandanna-you-can-use-this-pattern-in-the-design-of-carpet-201063638.jpg	0	1	0	0	0	0	0		0	0	0	0	None	leblsuugit.jpg
47	1	# of the sports team skates against sports team during their game .	https://media.gettyimages.com/photos/bryan-mccabe-of-the-toronto-maple-leafs-skates-against-the-new-jersey-picture-id73480619?k=6&m=73480619&s=612x612&w=0&h=99aa-OK9NQ_tJCllsuA5vifiFfxD-EW13TNYlg9m9D8=	0	1	0	0	0	0	0		0	0	0	0	None	obmiziapmq.jpg
49	1	a flight was traveling when the animal got free on tuesday night	http://i.dailymail.co.uk/i/pix/2016/08/10/15/371349E500000578-0-image-a-15_1470837871650.jpg	0	0	0	0	1	0	0		0	0	0	0	None	xpiozjfvfy.jpg
50	1	even though agricultural conditions are not ideal for growing tobacco , there is indigenous production .	https://www.swissinfo.ch/image/40654192/3x2/1024/682/a312f173f207c67824ea7fcf8079012a/gA/tabakinschweiz-15-jpg.jpg	0	0	0	1	1	0	0		0	0	0	0	None	nwzpqpjkod.jpg
